menu_id	ice_t_id	menu_t_id	stor_m_price	stor_m_name	stor_m_cal	stor_m_info	stor_m_img
37	1	0	5800	루이보스크림티	135	부드러운 크림을 맛볼 수 있는 티	5_rubo_tea.png
74	0	0	5800	라즈베리아이스티	120	달콤한 딸기향이 감동는 TWG TEA 1897 블랙티 베이스에 라즈베리로 상큼함을 더한 TWG 아이스티	2_rabe_tea.png
74	1	1	5800	허니레몬티	120	진한 TWG 프렌치 얼그레이의 향과 달콤한 꿀, 상큼한 레몬이 녹아든 향긋한 티	5_honle_tea.png
27	0	0	5500	자몽에이드	120	상큼한 자몽을 시원하게 즐길 수 있는 아이스티	2_ja_ade.png
37	0	0	5500	라즈베리에이드	120	상큼한 아이스티와 라즈베리가 어우러져 시원하게 즐기는 아이스티	2_ra_ade.png
91	0	0	5500	오렌지에이드	120	상큼한 오렌지를 그대로 느낄 수 있는 에이드	2_oran_ade.png
26	0	0	5500	라임레몬에이드	120	여름의 무더위를 날려줄 상큼함을 더블로 즐길 수 있는 에이드	2_rale_ade.png
60	0	0	6000	콜드브루토닉	110	상큼하고 깔끔한 콜드브루 토닉	4_coldto_caf.png
60	1	0	5300	니트로콜드브루라떼	100	콜드브루 원액과 질소가 반응해 고운 거품이 생기는 부드러운 커피	4_ntcol_caf.png
25	0	0	5500	커피 쉐이크	152	투썸만의 원두가 들어간 커피쉐이크	1_caf_sk.png
11	0	0	5500	초코 쉐이크	135	달콤한 초콜릿을 시원하게 즐길 수 있는 초코 쉐이크	1_cho_sk.png
16	0	0	5500	바닐라쉐이크	140	부드러운 바닐라와 시원한 여름을 함께 즐길 수 있는 바닐라 쉐이크	1_va_sk.png
74	1	0	5500	유자레몬티	80	유자와 레몬의 상큼함을 은은하게 즐길 수 있는 유자레몬티	5_ule_tea.png
54	1	0	5800	티라미수라떼	150	달콤학 커피를 즐기고 싶을 땐, 티라미수 라떼	4_tira_caf.png
63	1	0	6000	플로팅라떼	150	우유에 아이스크림과 에스프레소 2샷을 넣어 얼음 없이 즐기는 라떼	4_flo_caf.png
75	1	0	5500	오렌지자몽티	120	오렌지와 자몽의 색다른 상큼함을 두 배로 즐길 수 있는 티	5_oja_tea.png
37	1	0	5500	로얄밀크티	210	부드럽고 풍미가 깊은 로얄 밀크티	5_roy_tea.png
58	0	0	4800	아이스숏라떼	115	우유가 덜 들어가 진한 커피맛을 느낄 수 있는 아이스숏라떼	4_shor_caf.png
58	1	1	5800	스페니쉬연유카페라떼	325	평화로운 유럽 초원의 감성을 담은 부드럽고 달콤한 스페니쉬 연유라떼	4_span_caf.png
47	1	1	4100	롱블랙	80	에스프레소보다 짧게 추출한 리스트레또샷을 넣어 풍미와 풍부한 크레마를 느낄 수 있는 매력적인 커피	4_long_caf.png
117	1	0	5000	고구마라떼	150	고소한 고구마와 부드러운 우유를 함께 즐길 수 있는 고구마라떼	8_gogu_etc.png
60	1	0	5000	콜드브루라떼	80	저온숙성, 저온추출한 콜드브루를 부드럽게 즐길 수 있는 콜드브루라떼	4_coldra_caf.png
60	1	0	4500	콜드브루	80	투썸만의 저온숙성, 저온추출 기술을 통해 깔끔하게 즐길 수 있는 콜드브루	4_cold_caf.png
17	0	1	5800	스트로베리피치프라페	150	딸기와 복숭아의 상큼함이 조화롭게 어우러져 달콤하고 시원하게 즐길 수 있는 과일 프라페	8_straw_etc.png
91	0	0	6000	오렌지자몽주스	120	상큼한 오렌지와 자몽의 만남	6_oja_jui.png
92	0	0	5500	키위바나나주스	120	부드러운 바나나와 상큼한 키위의 궁합을 즐길 수 있는 주스	6_kiba_jui.png
38	0	0	6000	버블밀크티	180	풍미가 깊은 밀크티와 식감이 재밌는 버블이 들어간 티	3_bumil_mt.png
38	0	0	5500	버블그린티라떼	180	달콤함이 부담스러울 때 추천하는 버블그린티라떼	8_bugra_etc.png
62	0	0	5600	아이스화이트모카	180	화이트모카의 풍미를 느낄 수 있는 아이스화이트모카	4_whamo_caf.png
57	1	0	5600	카라멜마키야또	180	향긋한 바닐라시럽과 따뜻한 스팀밀크 위에 풍성한 우유거품을 얹고 에스프레소를 부은 달콤한 커피음료	4_caml_caf.png
57	0	0	5300	아이스카라멜마키야또	180	향긋한 바닐라시럽과 따뜻한 스팀밀크 위에 풍성한 우유거품을 얹고 에스프레소를 부은 달콤한 커피음료	4_calme_caf.png
13	0	0	5300	모카칩프라페	180	달콤하고 부드러운 화이트 초콜릿 시럽과 에스프레소를 스팀 밀크와 섞은 부드러운 커피	1_mocachi_sk.png
23	0	0	5300	카라멜프라페	180	카라멜과 커피가 어우러진 프라페	1_came_sk.png
