menu_id	ice_t_id	menu_t_id	stor_m_price	stor_m_name	stor_m_cal	stor_m_info	stor_m_img
7	0	1	6000	스타벅스 수박 그란데 블렌디드	280	여름 제철 과일인 수박과 참외가 들어간 무더운 여름 시원 달콤하게 즐길 수 있는 블렌디드	s_watm_su
11	0	0	6300	피치 요거트 블렌디드	240	달콤한 복숭아에 구름같은 요거트가 더해져 가볍고 상큼하게 즐길 수 있는 과일 블렌디드	s_peayo_su
9	0	0	5400	망고 패션 티 블렌디드	150	망고 패션 프루트 주스와 패션 탱고 티가 상큼하게 어우러진 과일 블렌디드	s_manp_su
12	0	0	6000	북한산 레몬 얼 그레이 블렌디드	110	꼬냑 향을 가미한 상큼한 레모네이드와 은은한 얼 그레이 티가 어우러진 블렌디드 음료	s_buklemear_su
7	0	0	6000	더 그린 쑥 블렌디드	370	은은한 쑥과 곡물에 말차샷이 어우러져 고소하고 달콤하게 즐기는 블렌디드	s_greemug_su
8	0	0	6300	딸기 딜라이트 요거트 블렌디드	370	유산균이 살아있는 리얼 요거트와 풍성한 딸기 과육이 더욱 상큼하게 어우러진 과일 요거트 블렌디드	s_stryo_su
15	0	0	6300	망고 바나나 블렌디드	290	달콤한 망고 패션 프루트 주스에 바나나 1개가 통째로 들어간 신선한 블렌디드	s_manba_su
7	0	0	6300	민트 초콜릿 칩 블렌디드	455	입 안 가득 상쾌한 민트 초콜릿과 부드러운 돌체 소스가 어우러진 초콜릿 블렌디드	s_minchop_su
7	0	0	6200	제주 금귤 듬뿍 블렌디드	430	제주 금귤을 이용하여 누구나 맛있게 즐길 수 있는 과일 블렌디드 한 잔에 듬뿍 올라간 금귤 토핑이 인상적인 음료	s_jegtan_su
26	0	1	6000	피스타치오 아보카도 초콜릿 프라푸치노	295	고소한 피스타치오와 달콤한 초콜릿, 아보카도 텍스쳐의 완벽한 조화. 우유 대신 오트를 사용해 더 맛있는 프라푸치노	s_piavcho_sk
36	0	0	6300	에스프레소 프라푸치노	145	에스프레소 샷의 강렬함과 약간의 단맛이 어우러진 프라푸치노	s_esp_sk
24	0	0	6300	자바 칩 프라푸치노	340	커피, 모카 소스, 진한 초콜릿 칩이 입안 가득 느껴지는 스타벅스에서만 맛볼 수 있는 프라푸치노	s_java_sk
25	0	0	5900	카라멜 프라푸치노	300	카라멜과 커피가 어우러진 프라푸치노	s_cara_sk
23	0	0	6000	화이트 초콜릿 모카 프라푸치노	245	화이트 초콜릿, 커피와 우유가 조화로운 프라푸치노	s_wchomo_sk
27	0	0	6200	제주 까망 크림 프라푸치노	600	 제주 까망 라떼의 프라푸치노 버전으로 쫄깃한 국내산 흑임자 떡과 블랙 소보로 토핑으로 컵빙수처럼 먹는 음료. 고소한 국내산 흑임자와 쫄깃한 국내산 흑임자 떡, 달콤한 블랙 소보로 토핑으로 제주의 돌 하르방 길을 느낄 수 있는 음료	s_jeblacr_sk
37	0	0	6200	제주 쑥떡 크림 프라푸치노	460	제주 쑥쑥 라떼의 시원한 버전으로 쫄깃쫄깃한 국내산 흑임자 떡으로 씹는 재미를 즐길 수 있는 음료.	s_jemugcre_sk
37	0	0	6300	제주 유기농 말차로 만든 크림 프라푸치노	230	깊고 진한 말차 본연의 맛과 향을 시원하고 부드럽게 즐길 수 있는 프라푸치노	s_jemalcre_sk
16	0	0	6000	초콜릿 크림 칩 프라푸치노	300	모카 소스와 진한 초콜릿 칩, 초콜릿 드리즐이 올라간 달콤한 크림 프라푸치노	s_chocrep_sk
41	0	1	5900	만다린 버베나 피지오	125	만다린(감귤류)의 시트러스함이 청량함을 품은 레몬 버베나(허브)와 만나 산뜻한 풍미가 더해진 피지오	s_mandfiz_ade
46	0	1	5900	피치 딸기 피지오	145	상큼한 과일과 청량한 탄산의 조화. 피치 특유의 감각적인 색상과 무드를 탄산과 함께 즐길 수 있는 피지오	s_peastrfiz_ade
41	0	1	5900	유자 패션 피지오	145	상콤달콤 고흥 유자와 스타벅스 시그니처 패션 탱고 티에 한 잔 한 잔 탄산을 넣어 제조하는 피지오 음료. 시트러스한 청량감을 가득 즐기세요!	s_yupasfiz_ade
47	0	1	5900	쿨 라임 피지오	105	그린 빈 추출액이 들어간 라임 베이스에 건조된 라임 슬라이스를 넣고 스파클링한 시원하고 청량감 있는 음료입니다	s_limfiz_ade
41	0	1	5900	딸기 아사이 레모네이드 스타벅스 리프레셔	105	딸기, 아사이베리 주스와 레모네이드가 달콤 상큼하게 조화된 맛에 가볍게 에너지 부스팅을 할 수 있는 리프레셔 음료	s_stralem_ade
41	0	1	5900	망고 용과 레모네이드 스타벅스 리프레셔	95	망고 용과와 레모네이드가 달콤 상큼하게 조화된 맛에 가볍게 에너지 부스팅을 할 수 있는 음료	s_mandle_ade
44	0	1	5900	퍼플 드링크 위드 망고 용과 스타벅스 리프레셔	90	망고 용과와 코코넛 밀크가 달콤하고 부드럽게 조화된 맛에 가볍게 에너지 부스팅을 할 수 있는 음료	s_pmand_ade
41	0	1	5900	핑크 드링크 위드 딸기 아사이 스타벅스 리프레셔	100	딸기, 아사이베리 주스와 코코넛 베이스가 달콤하고 부드럽게 조화된 맛에 가볍게 에너지 부스팅을 할 수 있는 리프레셔 음료	s_pstr_ade
58	1	0	4800	돌체 블랙 밀크 티	250	진한 홍차에 부드러운 우유와 연유 시럽으로 향긋하고 달콤하게 맛을 낸 스타벅스만의 돌체 블랙 밀크 티	s_dbla_mt
58	0	0	4800	아이스 돌체 블랙 밀크 티	210	진한 홍차에 부드러운 우유와 연유 시럽으로 향긋하고 달콤하게 맛을 낸 스타벅스만의 돌체 블랙 밀크 티	s_idbla_mt
69	1	0	4000	에스프레소	5	스타벅스 에스프레소는 향기로운 크레마 층과 바디 층, 하트 층으로 이루어져 있으며, 입안 가득히 커피와 달콤한 카라멜 향이 느껴지는 커피 음료	s_esp_caf
71	1	0	4200	에스프레소 콘 파나	30	신선한 에스프레소 샷에 풍부한 휘핑크림을 얹은 커피 음료로서, 뜨거운 커피의 맛과 차갑고 달콤한 생크림의 맛을 같이 즐길 수 있는 커피 음료	s_espcon_caf
72	1	0	4000	에스프레소 마키아또	10	신선한 에스프레소 샷에 우유 거품을 살짝 얹은 커피 음료로써, 강렬한 에스프레소의 맛과 우유의 부드러움을 같이 즐길 수 있는 커피 음료	s_espmac_caf
