menu_id	ice_t_id	menu_t_id	stor_m_price	stor_m_name	stor_m_cal	stor_m_info	stor_m_img
73	1	0	4000	아메리카노	12	블렌드 원두로 추출한 에스프레소에 물을 더해, 풍부한 바디감을 느낄 수 있는 스탠다드 커피.	m_ame_caf
73	0	0	4000	아메리카노	12	블렌드 원두로 추출한 에스프레소에 물을 더해, 풍부한 바디감을 느낄 수 있는 스탠다드 커피.	m_iame_caf
83	1	0	5000	카페 라떼	180	풍부하고 진한 에스프레소가 신선한 스팀 밀크를 만나 부드러워진 커피 위에 우유 거품을 살짝 얹은 대표적인 커피 라떼	s_caflat_caf
83	0	0	5000	아이스 카페 라떼	180	풍부하고 진한 에스프레소가 신선한 스팀 밀크를 만나 부드러워진 커피 위에 우유 거품을 살짝 얹은 대표적인 커피 라떼	s_icaflat_caf
15	0	0	6300	망고 바나나 블렌디드	290	달콤한 망고 패션 프루트 주스에 바나나 1개가 통째로 들어간 신선한 블렌디드	s_manba_su
8	0	0	6300	딸기 딜라이트 요거트 블렌디드	370	유산균이 살아있는 리얼 요거트와 풍성한 딸기 과육이 더욱 상큼하게 어우러진 과일 요거트 블렌디드	s_stryo_su
7	0	0	6300	민트 초콜릿 칩 블렌디드	455	입 안 가득 상쾌한 민트 초콜릿과 부드러운 돌체 소스가 어우러진 초콜릿 블렌디드	s_minchop_su
36	0	0	6300	에스프레소 프라푸치노	145	에스프레소 샷의 강렬함과 약간의 단맛이 어우러진 프라푸치노	s_esp_sk
25	0	0	5900	카라멜 프라푸치노	300	카라멜과 커피가 어우러진 프라푸치노	s_cara_sk
23	0	0	6000	화이트 초콜릿 모카 프라푸치노	245	화이트 초콜릿, 커피와 우유가 조화로운 프라푸치노	s_wchomo_sk
71	1	0	4200	에스프레소 콘 파나	30	신선한 에스프레소 샷에 풍부한 휘핑크림을 얹은 커피 음료로서, 뜨거운 커피의 맛과 차갑고 달콤한 생크림의 맛을 같이 즐길 수 있는 커피 음료	s_espcon_caf
82	1	0	5400	카라멜 마키아또	200	향긋한 바닐라 시럽과 따뜻한 스팀 밀크 위에 풍성한 우유 거품을 얹고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료	s_carmac_caf
82	0	0	5400	아이스 카라멜 마키아또	190	향긋한 바닐라 시럽과 시원한 우유와 얼음을 넣고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료	s_icarmac_caf
84	1	0	5000	카푸치노	110	풍부하고 진한 에스프레소에 따뜻한 우유와 벨벳 같은 우유 거품이 1:1 비율로 어우러져 마무리된 커피 음료	s_cappu_caf
