menu_id	ice_t_id	menu_t_id	stor_m_price	stor_m_name	stor_m_cal	stor_m_info	stor_m_img
48	1	0	4000	아메리카노	12	블렌드 원두로 추출한 에스프레소에 물을 더해, 풍부한 바디감을 느낄 수 있는 스탠다드 커피.	m_ame_caf.png
48	0	0	4000	아메리카노	12	블렌드 원두로 추출한 에스프레소에 물을 더해, 풍부한 바디감을 느낄 수 있는 스탠다드 커피.	m_iame_caf.png
58	1	0	5000	카페 라떼	180	풍부하고 진한 에스프레소가 신선한 스팀 밀크를 만나 부드러워진 커피 위에 우유 거품을 살짝 얹은 대표적인 커피 라떼	s_caflat_caf.png
58	0	0	5000	아이스 카페 라떼	180	풍부하고 진한 에스프레소가 신선한 스팀 밀크를 만나 부드러워진 커피 위에 우유 거품을 살짝 얹은 대표적인 커피 라떼	s_icaflat_caf.png
18	0	0	6300	망고 바나나 블렌디드	290	달콤한 망고 패션 프루트 주스에 바나나 1개가 통째로 들어간 신선한 블렌디드	s_manba_su.png
17	0	0	6300	딸기 딜라이트 요거트 블렌디드	370	유산균이 살아있는 리얼 요거트와 풍성한 딸기 과육이 더욱 상큼하게 어우러진 과일 요거트 블렌디드	s_stryo_su.png
12	0	0	6300	민트 초콜릿 칩 블렌디드	455	입 안 가득 상쾌한 민트 초콜릿과 부드러운 돌체 소스가 어우러진 초콜릿 블렌디드	s_minchop_su.png
1	0	0	6300	에스프레소 프라푸치노	145	에스프레소 샷의 강렬함과 약간의 단맛이 어우러진 프라푸치노	s_esp_sk.png
1	0	0	5900	카라멜 프라푸치노	300	카라멜과 커피가 어우러진 프라푸치노	s_cara_sk.png
0	0	0	6000	화이트 초콜릿 모카 프라푸치노	245	화이트 초콜릿, 커피와 우유가 조화로운 프라푸치노	s_wchomo_sk.png
47	1	0	4200	에스프레소 콘 파나	30	신선한 에스프레소 샷에 풍부한 휘핑크림을 얹은 커피 음료로서, 뜨거운 커피의 맛과 차갑고 달콤한 생크림의 맛을 같이 즐길 수 있는 커피 음료	s_espcon_caf.png
57	1	0	5400	카라멜 마키아또	200	향긋한 바닐라 시럽과 따뜻한 스팀 밀크 위에 풍성한 우유 거품을 얹고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료	s_carmac_caf.png
57	0	0	5400	아이스 카라멜 마키아또	190	향긋한 바닐라 시럽과 시원한 우유와 얼음을 넣고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료	s_icarmac_caf.png
59	1	0	5000	카푸치노	110	풍부하고 진한 에스프레소에 따뜻한 우유와 벨벳 같은 우유 거품이 1:1 비율로 어우러져 마무리된 커피 음료	s_cappu_caf.png
59	0	0	5000	아이스 카푸치노	115	풍부하고 진한 에스프레소에 신선한 우유와 우유 거품이 얼음과 함께 들어간 시원하고 부드러운 커피 음료	s_icappu_caf.png
55	1	0	5000	바닐라 빈 라떼	245	리저브만을 위한 프리미엄 바닐라 빈 시럽이 부드럽게 어우러진 카페 라떼	s_vanlb_caf.png
55	0	0	5000	아이스 바닐라 빈 라떼	245	리저브만을 위한 프리미엄 바닐라 빈 시럽이 부드럽게 어우러진 카페 라떼	s_ivanlb_caf.png
62	1	0	5500	카페 모카	290	진한 초콜릿 모카 시럽과 풍부한 에스프레소를 스팀 밀크와 섞어 휘핑크림으로 마무리한 음료로 진한 에스프레소와 초콜릿 맛이 어우러진 커피	s_cafmoc_caf.png
62	0	0	5500	아이스 카페 모카	290	진한 초콜릿 모카 시럽과 풍부한 에스프레소를 스팀 밀크와 섞어 휘핑크림으로 마무리한 음료로 진한 에스프레소와 초콜릿 맛이 어우러진 커피	s_icafmoc_caf.png
60	0	0	4900	콜드브루	5	콜드 브루 전용 원두를 차가운 물로 추출하여 한정된 양만 제공됩니다. 깊은 풍미의 새로운 커피 경험을 즐겨보세요.	s_colb_caf.png
69	1	0	4500	민트 블렌드 티	1	스피어민트, 페퍼민트, 레몬머틀이 블렌딩된 상쾌한 허브 티	s_minble_tea.png
69	0	0	4500	아이스 민트 블렌드 티	1	스피어민트, 페퍼민트, 레몬머틀이 블렌딩된 상쾌한 허브 티	s_iminble_tea.png
67	1	0	4500	얼 그레이 티	1	꽃향 가득한 라벤더와 베르가못 향이 진한 홍차와 블렌딩된 향긋한 블랙 티	s_earlg_tea.png
67	0	0	4500	아이스 얼 그레이 티	1	꽃향 가득한 라벤더와 베르가못 향이 진한 홍차와 블렌딩된 향긋한 블랙 티	s_iearlg_tea.png
68	1	0	4500	캐모마일 블렌드 티	3	캐모마일과 레몬 그라스, 레몬밤, 히비스커스 등 블렌딩되어 은은하고 차분한 향이 기분을 좋게하는 허브 티	s_cham_tea.png
68	0	0	4500	아이스 캐모마일 블렌드 티	3	캐모마일과 레몬 그라스, 레몬밤, 히비스커스 등 블렌딩되어 은은하고 차분한 향이 기분을 좋게하는 허브 티	s_icham_tea.png
79	1	0	4500	히비스커스 블렌드 티	3	히비스커스, 사과, 파파야, 망고, 레몬그라스 등이 블렌딩된 상큼한 허브 티	s_hib_tea.png
79	0	0	4500	아이스 히비스커스 블렌드 티	3	히비스커스, 사과, 파파야, 망고, 레몬그라스 등이 블렌딩된 상큼한 허브 티	s_ihib_tea.png
112	1	1	5700	시그니처 핫 초콜릿	500	깊고 진한 초콜릿과 부드러운 휘핑크림이 입안에서 사르르 녹는 프리미엄 초콜릿 음료	s_sighcho_etc.png
111	0	1	5700	아이스 시그니처 초콜릿	325	깊고 진한 초콜릿과 부드러운 휘핑크림이 입안에서 사르르 녹는 프리미엄 초콜릿 음료	s_isicho_etc.png
