menu_id	ice_t_id	menu_t_id	stor_m_price	stor_m_name	stor_m_cal	stor_m_info	stor_m_img
59	1	0	5800	루이보스크림티	135	부드러운 크림을 맛볼 수 있는 티	5_rubo_tea
101	0	0	5800	라즈베리아이스티	120	달콤한 딸기향이 감동는 TWG TEA 1897 블랙티 베이스에 라즈베리로 상큼함을 더한 TWG 아이스티	2_rabe_tea
101	1	1	5800	허니레몬티	120	진한 TWG 프렌치 얼그레이의 향과 달콤한 꿀, 상큼한 레몬이 녹아든 향긋한 티	5_honle_tea
42	0	0	5500	자몽에이드	120	상큼한 자몽을 시원하게 즐길 수 있는 아이스티	2_ja_ade
41	0	0	5500	라즈베리에이드	120	상큼한 아이스티와 라즈베리가 어우러져 시원하게 즐기는 아이스티	2_ra_ade
41	0	0	5500	오렌지에이드	120	상큼한 오렌지를 그대로 느낄 수 있는 에이드	2_oran_ade
52	0	0	5500	라임레몬에이드	120	여름의 무더위를 날려줄 상큼함을 더블로 즐길 수 있는 에이드	2_rale_ade
86	0	0	6000	콜드브루토닉	110	상큼하고 깔끔한 콜드브루 토닉	4_coldto_caf
85	1	0	5300	니트로콜드브루라떼	100	콜드브루 원액과 질소가 반응해 고운 거품이 생기는 부드러운 커피	4_ntcol_caf
36	0	0	5500	커피 쉐이크	152	투썸만의 원두가 들어간 커피쉐이크	1_caf_sk
18	0	0	5500	초코 쉐이크	135	달콤한 초콜릿을 시원하게 즐길 수 있는 초코 쉐이크	1_cho_sk
27	0	0	5500	바닐라쉐이크	140	부드러운 바닐라와 시원한 여름을 함께 즐길 수 있는 바닐라 쉐이크	1_va_sk
67	1	0	5500	유자레몬티	80	유자와 레몬의 상큼함을 은은하게 즐길 수 있는 유자레몬티	5_ule_tea
149	1	0	5800	티라미수라떼	150	달콤학 커피를 즐기고 싶을 땐, 티라미수 라떼	4_tira_caf
149	1	0	6000	플로팅라떼	150	우유에 아이스크림과 에스프레소 2샷을 넣어 얼음 없이 즐기는 라떼	4_flo_caf
107	1	0	5500	오렌지자몽티	120	오렌지와 자몽의 색다른 상큼함을 두 배로 즐길 수 있는 티	5_oja_tea
60	1	0	5500	로얄밀크티	210	부드럽고 풍미가 깊은 로얄 밀크티	5_roy_tea
83	0	0	4800	아이스숏라떼	115	우유가 덜 들어가 진한 커피맛을 느낄 수 있는 아이스숏라떼	4_shor_caf
81	1	1	5800	스페니쉬연유카페라떼	325	평화로운 유럽 초원의 감성을 담은 부드럽고 달콤한 스페니쉬 연유라떼	4_span_caf
69	1	1	4100	롱블랙	80	에스프레소보다 짧게 추출한 리스트레또샷을 넣어 풍미와 풍부한 크레마를 느낄 수 있는 매력적인 커피	4_long_caf
150	1	0	5000	고구마라떼	150	고소한 고구마와 부드러운 우유를 함께 즐길 수 있는 고구마라떼	8_gogu_etc
