menu_id	ice_t_id	menu_t_id	stor_m_price	stor_m_name	stor_m_cal	stor_m_info	stor_m_img
9	0	0	3900	망고 플래치노	258	열대과일인 망고의 달콤하고 진한 맛을 그대로 담아낸 여름철 인기 메뉴	e_man_su
11	0	0	3900	꿀복숭아 플랫치노	225	복숭아의 리얼한 풍미와 꿀의 달콤함이 최적의 조화를 이룬 달콤하고 시원한 플랫치노	e_hopea_su
0	0	0	4500	초콜릿 칩 플랫치노	387	트리플 모카시럽에 초콜릿 칩이 더해져 씹는 재미가 있는 달콤한 플랫치노	e_chop_su
0	0	1	4500	민트 초콜릿 칩 플랫치노	493	진한 민트향이 더해진 초코렛에 초콜렛칩이 가득 들어있는 젊은 감성의 이디야 플랫치노	e_minchop_su
7	0	0	4500	플레인 요거트 플랫치노	229	요거트 고유의 새콤달콤한 맛을 그대로 살린 메뉴로 여성들에게 인기가 좋은 음료	e_plyo_su
10	0	0	4700	블루베리 요거트 플랫치노	297	블루베리 본연의 맛과 상큼한 요거트의 조화를 이룬 새콤달콤한 요거트 플랫치노	e_bluyo_su
8	0	0	4700	딸기 요거트 플랫치노	313	남녀노소 누구나 좋아하는 딸기와 상큼한 요거트가 조화롭게 어우러진 플랫치노	e_stryo_su
16	0	0	4900	더블 초코칩 쉐이크	501	젤라또 플레이버를 음료로 즐길 수 있는 메뉴로, 묵직한 바닐라향의 풍미와 초콜릿 칩의 씹히는 식감을 조화롭게 즐길 수 있는 음료	e_dchop_sk
26	0	0	4800	피스타치오 쉐이크	424	젤라또 플레이버를 음료로 즐길 수 있는 메뉴로, 피스타치오의 고소함과 카라멜 토핑의 바삭한 식감을 즐길 수 있는 음료	e_pista_sk
27	0	0	4700	오리진 쉐이크	355	우유 그대로의 부드러운 맛을 느낄 수 있으며, 어린이와 청소년도 즐겨 먹을 수 있는 쉐이크	e_orig_sk
17	0	0	4900	초코쿠키 쉐이크	449	초코쿠키의 달콤함과 바삭함을 느낄 수 있어, 어린이와 청소년에게 인기 있는 쉐이크	e_chock_sk
28	0	0	5200	딸기 쉐이크	454	부드러운 우유의 맛과 국내산 딸기의 달콤함이 조화로운 쉐이크	e_str_sk
41	0	0	4200	레몬 에이드	123	레몬의 상큼함과 톡 쏘는 탄산의 시원함을 함께 즐길 수 있는 음료	e_lemo_ade
42	0	0	4200	자몽 에이드	124	자몽의 쌉싸름한 맛과 상큼함을 동시에 느낄 수 있으며, 탄산의 정량함을 함께 맛볼 수 있는 음료	e_graf_ade
43	0	0	4200	청포도 에이드	173	상큼한 청포도와 탄산의 시원함 느낄수 있는 음료	e_grap_ade
